Customer Lifetime Value,Coverage,Gender,Income,Marital Status,Months Since Last Claim,Months Since Policy Inception,Number of Policies,Total Claim Amount,Vehicle Size,Number of Open Complaints,MPA(50-100),MPA(101-150),MPA(151-200),MPA(201-250)
23893.3041,Extended,F,39837,Married,11,63,2,381.306996,Medsize,0,0,0,0,1
17420.56565,Extended,M,31737,Married,17,2,3,1046.4,Medsize,0,0,0,0,1
19160.98994,Extended,F,22705,Divorced,19,59,7,1294.700423,Medsize,0,0,0,0,1
43217.21611,Extended,M,51504,Single,30,99,2,2552.343856,Medsize,0,0,0,0,1
41075.42879,Extended,M,21988,Married,12,62,2,1003.2,Medsize,0,0,0,0,1
14396.24222,Extended,M,0,Single,14,63,4,1476,Medsize,0,0,0,0,1
16793.9728,Extended,F,0,Single,29,90,4,1142.4,Large,1,0,0,0,1
17822.56375,Extended,F,42696,Single,17,50,9,1273.741085,Small,0,0,0,0,1
36293.14678,Extended,M,18047,Married,5,50,2,1350.379181,Medsize,0,0,0,0,1
83325.38119,Extended,M,58958,Married,31,74,2,1108.8,Small,0,0,0,0,1
13021.0853,Extended,F,0,Single,26,40,7,1605.6,Medsize,5,0,0,0,1
14084.48944,Extended,M,0,Single,22,92,3,2270.508697,Medsize,0,0,0,0,1
7840.165778,Extended,M,58414,Single,7,24,1,1008,Small,2,0,0,0,1
8485.385641,Extended,M,0,Single,10,99,1,1756.8,Small,0,0,0,0,1
18544.30271,Extended,F,34087,Single,12,49,6,889.518521,Medsize,0,0,0,0,1
73225.95652,Extended,F,39547,Married,11,21,2,969.6,Medsize,0,0,0,0,1
8427.172486,Extended,F,46503,Divorced,4,21,1,1032,Medsize,1,0,0,0,1
15956.02945,Extended,M,36354,Married,34,28,9,1454.4,Small,0,0,0,0,1
58207.12842,Extended,M,29295,Married,25,50,2,1328.839129,Large,0,0,0,0,1
9928.986032,Extended,F,75716,Single,2,32,1,562.088587,Medsize,0,0,0,0,1
26511.60445,Extended,M,28773,Single,14,72,2,1099.2,Medsize,0,0,0,0,1
8779.090552,Extended,M,54726,Married,30,69,1,1051.2,Small,0,0,0,0,1
17441.6378,Extended,F,80969,Married,1,80,3,1041.6,Small,0,0,0,0,1
18370.57004,Extended,M,49659,Divorced,31,15,9,1684.8,Large,0,0,0,0,1
19160.98994,Extended,F,22705,Divorced,19,59,7,1294.700423,Medsize,0,0,0,0,1
8278.716567,Extended,M,16924,Single,23,69,1,1084.8,Medsize,0,0,0,0,1
17019.1929,Extended,M,98623,Married,17,69,9,1012.8,Large,0,0,0,0,1
64618.75715,Extended,M,0,Married,14,40,2,1562.4,Small,1,0,0,0,1
17776.82267,Extended,F,86205,Single,8,67,8,1070.4,Small,0,0,0,0,1
25807.063,Extended,F,71210,Married,8,89,2,1027.2,Small,1,0,0,0,1
17526.17908,Extended,F,52228,Married,29,72,8,1056,Medsize,1,0,0,0,1
9664.330983,Extended,F,86054,Married,12,11,1,115.166422,Medsize,0,0,0,0,1
50568.25912,Extended,M,82081,Married,1,62,2,753.760098,Small,0,0,0,0,1
16705.10312,Extended,M,74900,Married,31,63,6,998.4,Medsize,0,0,0,0,1
7840.165778,Extended,M,58414,Single,7,24,1,1008,Small,2,0,0,0,1
19160.98994,Extended,F,22705,Divorced,19,59,7,1294.700423,Medsize,0,0,0,0,1
24543.19862,Extended,F,68297,Single,6,42,2,1272.487601,Medsize,3,0,0,0,1
16460.07754,Extended,M,16869,Divorced,28,57,3,1065.6,Small,0,0,0,0,1
28622.31443,Extended,M,35442,Married,10,20,2,1147.2,Small,0,0,0,0,1
8906.991433,Extended,M,58718,Single,11,0,1,1084.8,Medsize,0,0,0,0,1
8575.961719,Extended,F,39946,Divorced,23,99,1,1046.4,Small,0,0,0,0,1
7449.855125,Extended,F,0,Single,7,82,1,1483.2,Large,0,0,0,0,1
9685.542977,Extended,F,66022,Married,17,80,1,538.229502,Medsize,0,0,0,0,1
14980.04626,Extended,F,0,Single,26,50,8,1123.485329,Medsize,0,0,0,0,1
16320.76716,Extended,F,0,Single,5,12,5,1778.4,Medsize,3,0,0,0,1
19337.90103,Extended,M,26488,Divorced,21,39,7,1321.584957,Medsize,0,0,0,0,1
16909.92767,Extended,M,65620,Divorced,16,0,4,766.322388,Medsize,0,0,0,0,1
2392.10789,Basic,F,17870,Married,30,91,1,439.2,Medsize,0,1,0,0,0
2443.665166,Basic,M,92834,Married,15,56,1,292.8,Large,0,1,0,0,0
4250.282624,Basic,F,0,Single,17,1,7,292.8,Small,1,1,0,0,0
2189.642522,Basic,F,0,Married,5,46,1,292.8,Small,3,1,0,0,0
2050.623512,Basic,M,0,Single,18,26,1,292.8,Small,0,1,0,0,0
4719.762191,Basic,M,37057,Married,5,48,6,47.53101,Small,1,1,0,0,0
2150.178588,Basic,F,0,Single,28,31,1,292.8,Medsize,0,1,0,0,0
4731.366975,Basic,M,30686,Single,22,45,3,19.938981,Medsize,0,1,0,0,0
2430.506586,Basic,M,83140,Married,25,70,1,179.161843,Medsize,0,1,0,0,0
6048.574243,Basic,F,0,Married,17,71,2,292.8,Medsize,3,1,0,0,0
2436.875126,Basic,F,48875,Married,20,9,1,1.838367,Small,0,1,0,0,0
2434.681155,Basic,M,96045,Divorced,24,35,1,8.582971,Large,0,1,0,0,0
2064.458781,Basic,M,0,Single,6,30,1,292.8,Medsize,0,1,0,0,0
2308.648034,Basic,M,20811,Married,33,61,1,292.8,Medsize,0,1,0,0,0
4254.620669,Basic,F,11904,Single,34,11,3,292.8,Small,2,1,0,0,0
4838.208972,Basic,F,73769,Married,24,95,3,239.540223,Medsize,2,1,0,0,0
2457.576007,Basic,F,52926,Married,2,92,1,292.8,Medsize,0,1,0,0,0
2227.072755,Basic,M,27972,Married,7,38,1,292.8,Medsize,0,1,0,0,0
2227.072755,Basic,M,27972,Married,7,38,1,292.8,Medsize,0,1,0,0,0
4330.799785,Basic,F,0,Single,30,35,3,292.8,Medsize,0,1,0,0,0
4880.339614,Basic,M,97984,Married,1,36,5,407.450118,Small,1,1,0,0,0
2417.759961,Basic,F,51808,Married,3,12,1,351.149904,Small,1,1,0,0,0
2463.236825,Basic,M,99144,Married,29,51,1,292.8,Medsize,0,1,0,0,0
4886.544296,Basic,F,76374,Divorced,21,28,7,292.8,Small,0,1,0,0,0
2311.382109,Basic,M,24641,Married,16,57,1,294.92773,Medsize,0,1,0,0,0
7107.655397,Basic,F,0,Married,2,15,2,541.561209,Medsize,0,1,0,0,0
2411.256575,Basic,M,54483,Married,6,57,1,292.8,Medsize,0,1,0,0,0
7173.909404,Basic,M,75217,Single,12,47,2,147.080303,Medsize,1,1,0,0,0
7286.789075,Basic,M,65870,Married,21,40,2,202.847644,Large,1,1,0,0,0
4835.783179,Basic,M,36655,Married,15,81,9,295.223164,Small,0,1,0,0,0
2471.528431,Basic,M,95697,Married,16,55,1,114.273025,Medsize,0,1,0,0,0
4802.477033,Basic,M,29809,Married,13,17,9,365.312072,Medsize,0,1,0,0,0
2202.3352,Basic,F,0,Married,2,34,1,292.8,Medsize,1,1,0,0,0
2175.740021,Basic,F,0,Single,31,15,1,479.097472,Medsize,0,1,0,0,0
2144.921535,Basic,F,0,Single,34,35,1,292.8,Medsize,1,1,0,0,0
7285.030983,Basic,M,44788,Married,6,48,2,386.031248,Small,0,1,0,0,0
4961.405917,Basic,F,55702,Married,13,55,6,151.13336,Medsize,0,1,0,0,0
2471.528431,Basic,M,95697,Married,16,55,1,114.273025,Medsize,0,1,0,0,0
19116.56806,Basic,F,0,Single,31,43,2,657.808231,Small,0,1,0,0,0
4784.960513,Basic,F,25813,Divorced,16,97,8,205.332749,Medsize,0,1,0,0,0
7302.775082,Basic,M,30492,Married,32,68,2,171.38289,Medsize,0,1,0,0,0
4293.009593,Basic,F,0,Single,18,15,8,292.8,Large,0,1,0,0,0
4522.883533,Basic,M,0,Married,8,78,9,292.8,Medsize,0,1,0,0,0
2452.738575,Basic,F,52785,Married,2,90,1,45.721456,Medsize,0,1,0,0,0
19014.47625,Basic,F,29822,Single,17,44,2,292.8,Medsize,0,1,0,0,0
4869.282783,Basic,F,44934,Married,9,60,4,357.926979,Medsize,0,1,0,0,0
4928.397077,Basic,F,61785,Married,31,47,5,271.10697,Large,0,1,0,0,0
4160.162571,Basic,F,0,Single,3,58,5,292.8,Large,0,1,0,0,0
2237.347771,Basic,F,0,Married,19,44,1,292.8,Small,0,1,0,0,0
4872.774396,Basic,M,69247,Married,12,64,3,226.522147,Medsize,1,1,0,0,0
2381.790787,Basic,M,78185,Single,23,54,1,292.8,Small,0,1,0,0,0
7227.120364,Basic,F,40153,Single,1,99,2,340.07498,Medsize,0,1,0,0,0
6514.954043,Basic,M,0,Married,12,75,2,292.8,Small,1,1,0,0,0
2265.318569,Basic,M,0,Divorced,5,21,1,292.8,Medsize,0,1,0,0,0
2456.816647,Basic,F,50979,Married,25,45,1,262.842655,Medsize,1,1,0,0,0
2227.072755,Basic,M,27972,Married,7,38,1,292.8,Medsize,0,1,0,0,0
6355.678846,Basic,M,0,Divorced,25,79,2,292.8,Medsize,0,1,0,0,0
4759.624343,Basic,M,26747,Married,11,44,3,404.074203,Medsize,0,1,0,0,0
2374.798861,Basic,M,57338,Single,8,48,1,292.8,Small,0,1,0,0,0
7320.98824,Basic,M,99722,Single,6,48,2,292.8,Small,0,1,0,0,0
2108.493744,Basic,M,0,Single,8,91,1,351.85681,Medsize,0,1,0,0,0
4809.21696,Basic,M,48029,Married,7,52,9,292.8,Medsize,0,1,0,0,0
2345.262087,Basic,M,51397,Single,20,61,1,292.8,Medsize,0,1,0,0,0
17263.64048,Basic,F,96917,Married,24,2,2,71.942176,Medsize,0,1,0,0,0
2191.133237,Basic,M,0,Single,9,16,1,439.2,Medsize,1,1,0,0,0
7285.030983,Basic,M,44788,Married,6,48,2,386.031248,Small,0,1,0,0,0
2471.528431,Basic,M,95697,Married,16,55,1,114.273025,Medsize,0,1,0,0,0
4932.878744,Basic,M,74809,Married,7,35,3,283.787384,Small,0,1,0,0,0
9638.066778,Basic,M,35230,Married,27,2,2,16.214764,Medsize,1,1,0,0,0
2280.386988,Basic,F,0,Married,16,29,1,283.881697,Medsize,0,1,0,0,0
2404.917967,Basic,M,63455,Divorced,26,71,1,287.654819,Medsize,0,1,0,0,0
4446.738622,Basic,M,0,Single,32,42,3,616.279356,Medsize,0,1,0,0,0
2227.072755,Basic,M,27972,Married,7,38,1,292.8,Medsize,0,1,0,0,0
4151.667368,Basic,F,0,Single,7,71,9,208.892861,Medsize,3,1,0,0,0
4250.282624,Basic,F,0,Single,17,1,7,292.8,Small,1,1,0,0,0
7347.410517,Basic,F,29491,Married,26,62,2,292.8,Medsize,0,1,0,0,0
4930.949334,Basic,M,70412,Married,27,12,3,136.291083,Medsize,0,1,0,0,0
4720.608872,Basic,F,26277,Single,17,30,4,292.8,Medsize,0,1,0,0,0
2369.369299,Basic,M,49746,Single,5,88,1,624.42874,Small,0,1,0,0,0
19643.54421,Basic,F,84488,Married,33,71,2,208.885686,Medsize,0,1,0,0,0
2119.894333,Basic,M,18287,Married,6,56,1,292.8,Medsize,4,1,0,0,0
2141.750757,Basic,M,0,Married,5,90,1,437.040616,Medsize,0,1,0,0,0
6945.016955,Basic,F,15850,Married,28,14,2,314.528138,Medsize,0,1,0,0,0
4887.344366,Basic,F,66707,Married,19,24,8,71.980757,Large,0,1,0,0,0
7285.030983,Basic,M,44788,Married,6,48,2,386.031248,Small,0,1,0,0,0
2410.498573,Basic,M,41842,Married,1,14,1,292.8,Medsize,0,1,0,0,0
2396.192355,Basic,F,39062,Divorced,2,20,1,346.991025,Medsize,0,1,0,0,0
10634.83711,Basic,F,0,Single,35,71,2,292.8,Medsize,0,1,0,0,0
4819.183706,Basic,M,74730,Single,18,84,6,421.235276,Small,0,1,0,0,0
2374.147419,Basic,M,48911,Single,15,6,1,292.8,Large,0,1,0,0,0
4883.805481,Basic,F,58682,Married,24,34,4,206.810286,Medsize,0,1,0,0,0
4879.384813,Basic,F,67163,Married,17,41,5,33.192803,Small,2,1,0,0,0
2436.005997,Basic,M,87462,Married,0,79,1,51.294615,Medsize,1,1,0,0,0
7218.015592,Basic,F,32312,Married,29,31,2,276.590788,Medsize,3,1,0,0,0
2471.528431,Basic,M,95697,Married,16,55,1,114.273025,Medsize,0,1,0,0,0
4861.369008,Basic,M,36305,Married,19,61,9,292.8,Small,0,1,0,0,0
4882.493829,Basic,F,80604,Married,22,86,3,255.982609,Medsize,0,1,0,0,0
7258.992716,Basic,M,60969,Married,9,5,2,146.119178,Medsize,0,1,0,0,0
2267.604038,Basic,M,0,Married,3,67,1,292.8,Medsize,0,1,0,0,0
4944.088762,Basic,F,53607,Married,4,18,9,93.891207,Medsize,0,1,0,0,0
4732.219556,Basic,M,55385,Single,7,22,3,292.8,Medsize,0,1,0,0,0
2472.253893,Basic,F,62006,Married,31,96,1,292.8,Large,0,1,0,0,0
2229.361773,Basic,M,0,Married,27,57,1,292.8,Medsize,0,1,0,0,0
4944.240345,Basic,M,40463,Married,17,21,6,292.8,Small,0,1,0,0,0
2159.251473,Basic,M,0,Married,9,39,1,292.8,Medsize,0,1,0,0,0
4582.685265,Basic,M,19065,Married,28,29,7,292.8,Medsize,0,1,0,0,0
2446.664534,Basic,M,82225,Divorced,24,27,1,292.8,Medsize,0,1,0,0,0
4682.249396,Basic,M,37929,Divorced,21,35,5,120.436587,Medsize,0,1,0,0,0
4549.337013,Basic,F,23650,Married,5,10,3,14.095914,Medsize,2,1,0,0,0
4881.299084,Basic,F,37998,Married,26,27,7,292.8,Medsize,0,1,0,0,0
19088.34203,Basic,F,32775,Divorced,10,73,2,251.886847,Small,0,1,0,0,0
2167.330201,Basic,F,0,Single,16,46,1,439.2,Small,0,1,0,0,0
4611.2543,Basic,M,0,Married,4,15,7,292.8,Medsize,0,1,0,0,0
2319.818549,Basic,M,14660,Married,14,97,1,396.608751,Medsize,0,1,0,0,0
4739.861234,Basic,M,35039,Single,7,87,8,254.308991,Medsize,0,1,0,0,0
7355.349908,Basic,M,51789,Married,33,31,2,435.835125,Large,0,1,0,0,0
4558.428807,Basic,F,14665,Married,6,82,3,292.8,Small,0,1,0,0,0
2127.92357,Basic,F,0,Divorced,11,6,1,31.481852,Medsize,1,1,0,0,0
4794.96419,Basic,F,82763,Single,28,78,3,245.163042,Medsize,0,1,0,0,0
4945.072236,Basic,F,78796,Divorced,15,3,3,292.8,Medsize,0,1,0,0,0
4754.653816,Basic,F,30886,Divorced,8,36,6,8.315904,Medsize,0,1,0,0,0
7356.383518,Basic,F,33089,Married,10,61,2,292.8,Small,0,1,0,0,0
4717.62873,Basic,M,20355,Married,4,6,3,439.2,Large,1,1,0,0,0
2402.333284,Basic,M,46210,Married,24,44,1,439.2,Medsize,3,1,0,0,0
4466.977478,Basic,M,28663,Married,15,8,7,292.8,Medsize,4,1,0,0,0
4905.127076,Basic,F,88043,Married,2,43,3,188.717606,Small,0,1,0,0,0
4688.459288,Basic,F,27357,Married,19,48,5,292.8,Small,0,1,0,0,0
7285.030983,Basic,M,44788,Married,6,48,2,386.031248,Small,0,1,0,0,0
4656.665064,Basic,M,29070,Married,8,99,3,292.8,Small,2,1,0,0,0
4841.057535,Basic,F,23449,Married,33,2,8,292.8,Medsize,0,1,0,0,0
2132.771675,Basic,M,0,Single,0,62,1,691.677138,Small,0,1,0,0,0
4892.617128,Basic,F,43199,Married,23,31,3,334.007478,Medsize,0,1,0,0,0
4825.651946,Basic,M,61613,Married,6,20,9,40.562432,Medsize,1,1,0,0,0
4874.216555,Basic,M,92783,Married,1,47,6,6.671268,Medsize,0,1,0,0,0
19278.81715,Basic,F,0,Single,12,77,2,366.604732,Medsize,0,1,0,0,0
4926.282836,Basic,F,49185,Married,11,92,8,126.950071,Medsize,0,1,0,0,0
2439.930981,Basic,F,50876,Married,13,60,1,171.248196,Medsize,0,1,0,0,0
7285.030983,Basic,M,44788,Married,6,48,2,386.031248,Small,0,1,0,0,0
6500.409697,Basic,F,0,Single,13,37,2,292.8,Medsize,0,1,0,0,0
2467.129805,Basic,F,23845,Married,33,34,1,292.8,Large,0,1,0,0,0
2227.072755,Basic,M,27972,Married,7,38,1,292.8,Medsize,0,1,0,0,0
2448.765205,Basic,F,40658,Married,24,79,1,38.379869,Medsize,1,1,0,0,0
2405.618791,Basic,M,63032,Married,5,79,1,404.550554,Medsize,0,1,0,0,0
4864.382304,Basic,M,88079,Married,16,37,3,121.88814,Medsize,0,1,0,0,0
2471.077732,Basic,F,53074,Married,5,86,1,268.773368,Medsize,0,1,0,0,0
2452.726922,Basic,F,32764,Married,30,23,1,292.953446,Small,0,1,0,0,0
7285.030983,Basic,M,44788,Married,6,48,2,386.031248,Small,0,1,0,0,0
7094.158873,Basic,M,72878,Married,0,58,2,45.463345,Medsize,2,1,0,0,0
2389.310128,Basic,F,20484,Married,3,89,1,181.218317,Medsize,0,1,0,0,0
2227.072755,Basic,M,27972,Married,7,38,1,292.8,Medsize,0,1,0,0,0
4617.391775,Basic,F,16764,Married,13,79,7,292.8,Medsize,0,1,0,0,0
19045.50012,Basic,F,0,Single,2,61,2,439.2,Small,0,1,0,0,0
7072.928971,Basic,F,90551,Divorced,28,4,2,374.527412,Small,4,1,0,0,0
4768.955924,Basic,M,51144,Married,28,32,9,223.305224,Medsize,1,1,0,0,0
13786.70272,Basic,F,0,Married,21,24,2,370.755025,Medsize,0,1,0,0,0
4786.009693,Basic,M,23402,Married,29,38,7,292.8,Medsize,0,1,0,0,0
4786.889347,Basic,M,45515,Married,14,33,9,236.907007,Large,0,1,0,0,0
2393.036297,Basic,F,28646,Married,11,50,1,355.028632,Small,0,1,0,0,0
2375.001798,Basic,F,47455,Single,1,61,1,278.804991,Medsize,0,1,0,0,0
4909.027487,Basic,M,98693,Married,7,57,3,292.8,Small,0,1,0,0,0
20864.30762,Basic,F,0,Married,22,94,2,216.08671,Medsize,0,1,0,0,0
2442.422113,Basic,F,57963,Divorced,11,63,1,42.160829,Medsize,0,1,0,0,0
4829.571981,Basic,F,34819,Married,0,31,6,185.898327,Medsize,0,1,0,0,0
14666.23121,Basic,M,0,Single,0,31,2,439.2,Small,0,1,0,0,0
2471.528431,Basic,M,95697,Married,16,55,1,114.273025,Medsize,0,1,0,0,0
2124.173841,Basic,M,0,Married,17,14,1,60.5975,Medsize,1,1,0,0,0
4540.9925,Basic,F,0,Divorced,14,4,3,486.121464,Medsize,0,1,0,0,0
4795.387295,Basic,F,33068,Married,6,77,6,213.038013,Medsize,1,1,0,0,0
2320.750557,Basic,M,19581,Married,32,27,1,377.24342,Medsize,0,1,0,0,0
4874.665223,Basic,M,67467,Married,4,22,9,365.879938,Medsize,0,1,0,0,0
2424.424678,Basic,M,27093,Married,10,19,1,292.8,Medsize,0,1,0,0,0
2378.667328,Basic,M,54753,Single,5,99,1,292.8,Medsize,0,1,0,0,0
2435.147986,Basic,F,64341,Single,4,81,1,79.934072,Small,0,1,0,0,0
4492.23348,Basic,F,21137,Single,29,62,6,292.8,Medsize,1,1,0,0,0
7334.328083,Basic,F,87957,Divorced,31,63,2,308.321335,Small,0,1,0,0,0
4817.992644,Basic,M,38157,Married,2,39,4,81.53233,Medsize,0,1,0,0,0
9613.613215,Basic,M,34398,Married,10,18,2,292.8,Small,1,1,0,0,0
4766.645359,Basic,F,70432,Married,16,49,4,6.422285,Medsize,3,1,0,0,0
4862.908979,Basic,F,36839,Married,22,93,3,152.496995,Medsize,0,1,0,0,0
1994.774936,Basic,M,0,Single,18,96,1,393.215919,Medsize,0,1,0,0,0
21892.93859,Basic,M,58149,Married,5,90,2,292.8,Small,0,1,0,0,0
7319.575712,Basic,F,57777,Married,21,11,2,273.879927,Medsize,1,1,0,0,0
9705.30895,Basic,M,79157,Married,25,45,2,117.781906,Small,0,1,0,0,0
4254.620669,Basic,F,11904,Single,34,11,3,292.8,Small,2,1,0,0,0
2335.878238,Basic,M,22087,Married,29,3,1,292.8,Small,2,1,0,0,0
4938.21454,Basic,F,76283,Married,9,99,6,292.8,Medsize,0,1,0,0,0
6817.430723,Basic,M,43947,Married,33,43,2,291.388894,Large,4,1,0,0,0
6943.555989,Basic,F,25612,Married,12,52,2,292.8,Small,0,1,0,0,0
4716.264294,Basic,M,25746,Married,0,84,3,292.8,Medsize,1,1,0,0,0
4901.892602,Basic,M,72859,Divorced,6,5,9,49.961074,Medsize,0,1,0,0,0
2287.91729,Basic,F,69024,Married,27,32,1,238.530745,Medsize,5,1,0,0,0
7258.634662,Basic,M,88082,Married,10,45,2,218.779614,Medsize,1,1,0,0,0
17646.72772,Basic,F,36900,Single,21,28,2,109.291516,Large,3,1,0,0,0
2336.286633,Basic,F,21564,Married,11,61,1,49.014822,Large,0,1,0,0,0
4894.986713,Basic,F,67436,Married,6,28,4,292.8,Medsize,0,1,0,0,0
4869.240839,Basic,F,55593,Married,13,52,3,9.050204,Medsize,0,1,0,0,0
2379.825871,Basic,M,69202,Single,33,12,1,292.8,Small,0,1,0,0,0
4250.282624,Basic,F,0,Single,17,1,7,292.8,Small,1,1,0,0,0
2432.958093,Basic,F,28519,Married,9,94,1,111.865326,Medsize,0,1,0,0,0
2476.046413,Basic,F,54831,Married,7,45,1,136.2171,Medsize,0,1,0,0,0
4250.282624,Basic,F,0,Single,17,1,7,292.8,Small,1,1,0,0,0
4624.557568,Basic,F,28264,Divorced,22,12,6,167.889924,Medsize,4,1,0,0,0
4881.394894,Basic,M,90892,Married,1,31,6,102.322529,Medsize,0,1,0,0,0
4567.874448,Basic,M,15383,Married,10,36,4,292.8,Medsize,0,1,0,0,0
12495.73971,Basic,M,0,Single,32,85,2,292.8,Medsize,0,1,0,0,0
4860.580033,Basic,M,41126,Divorced,28,89,8,199.281404,Medsize,0,1,0,0,0
4935.642812,Basic,F,95765,Married,14,80,3,352.089317,Medsize,0,1,0,0,0
